Index,Agency Abbreviation,Agency Name,QuestionID,Full Question Text,Tags
1,DOC,Department of Commerce,DOC 1,Are the export controls that have been implemented on emerging technologies effective?,"Mission-Focused, National Security"
2,DOC,Department of Commerce,DOC 2,"Did Revolving Loan Fund (RLF) projects, funded via the CARES Act, result in additional lending and did additional lending lead to positive outcomes for recipients?","Mission-Focused, Economic Development"
3,DOC,Department of Commerce,DOC 3,"Do the models and tools that are currently available for communities to prepare for coastal inundation at seasonal, annual, and multi-year timescales meet community needs? What new models and tools should be developed to address unmet needs?","Mission-Focused, Climate Change, Natural Resources & Environment"
4,DOC,Department of Commerce,DOC 4,Do U.S. exporters that have been assisted by the International Trade Administration’s Global Markets (GM) program outperform U.S. exporters that have not been assisted by GM?,"Mission-Focused, Economic Development"
5,DOC,Department of Commerce,DOC 5,"Given rapid changes in oceans due in part to climate change, how can NOAA enhance fisheries management approaches to increase the sustainability and economic competitiveness of U.S. seafood?","Mission-Focused, Climate Change, Natural Resources & Environment"
6,DOC,Department of Commerce,DOC 6,How can bureau Customer Relationship Management systems be integrated with other key customer data and be used to track cycle time for service and the quality of customer experience?,"Operationally-Focused, PMA - Customer Experience & Service Delivery, Data Related"
7,DOC,Department of Commerce,DOC 7,How can data collection and analysis processes better inform whether a grant recipient is progressing toward the success criteria established in the award?,"Operationally-Focused, PMA - Business of Government, Grant Programs & Administration, Data Related"
8,DOC,Department of Commerce,DOC 8,How can effectiveness and efficiency of the patent examination process be improved?,"Operationally-Focused, PMA - Customer Experience & Service Delivery"
9,DOC,Department of Commerce,DOC 9,How can regional fora be an opportunity for clean technology standards?,"Mission-Focused, Climate Change, Natural Resources & Environment"
10,DOC,Department of Commerce,DOC 10,How could the Department’s leadership development programs be more effective in supporting succession planning?,"Operationally-Focused, PMA - Federal Workforce"
11,DOC,Department of Commerce,DOC 11,How effective are changes in the recruitment and hiring process in reducing the cycle time for hiring and improving the quality of candidates on certification lists?,"Operationally-Focused, PMA - Federal Workforce"
12,DOC,Department of Commerce,DOC 12,How effective are Department efforts to enable entrepreneurs to design and scale companies around new technologies?  How can these efforts be improved?,"Mission-Focused, Economic Development"
13,DOC,Department of Commerce,DOC 13,How effective are SelectUSA services in bringing foreign direct investment (FDI) to communities and in supporting different industries?,"Mission-Focused, Equity, Economic Development"
14,DOC,Department of Commerce,DOC 14,"How effectively is NOAA delivering Impact-Based Decision Support Services (IDSS) to public safety officials and partners, especially in communities that are particularly vulnerable to climate hazards? Do NOAA indicators ensure the information/support is accurate and adequate for the level of decisions made by public safety officials and partners?","Mission-Focused, Operationally-Focused, PMA - Customer Experience & Service Delivery, Equity, Climate Change"
15,DOC,Department of Commerce,DOC 15,How many U.S. residents have received broadband or improved or more affordable service as a result of Federal broadband support programs and the Universal Service Fund Programs?,"Mission-Focused, Economic Development, Infrastructure"
16,DOC,Department of Commerce,DOC 16,How much and what type of export assistance have been extended to underserved communities?  Does the data indicate any patterns in what approaches are most successful in assisting these businesses to export?,"Mission-Focused, Equity, Economic Development, Data Related"
17,DOC,Department of Commerce,DOC 17,How reliable are early estimates of key economic indicators and what actions can improve reliability?,"Mission-Focused, Operationally-Focused, Economic Development, Data Related"
18,DOC,Department of Commerce,DOC 18,"Is the export control system adaptable to the changing security environment, including the new threats?","Mission-Focused, National Security"
19,DOC,Department of Commerce,DOC 19,"To what extent do Commerce’s existing partnerships with other agencies, industry, communities, non-profits, and academia affect manufacturing, including the environmental sustainability of manufacturing? What partnership factors are associated with strengthening manufacturing?","Mission-Focused, Climate Change, Economic Development"
20,DOC,Department of Commerce,DOC 20,What actions are needed to achieve electricity use free of carbon pollution by 2030?,"Operationally-Focused, Climate Change, Natural Resources & Environment"
21,DOC,Department of Commerce,DOC 21,What actions are needed to achieve net zero emission buildings by 2045?,"Operationally-Focused, Climate Change, Natural Resources & Environment"
22,DOC,Department of Commerce,DOC 22,"What approaches have proven most effective in helping coastal communities and ecosystems prepare for and recover from extreme weather events, climate hazards, and changing ocean conditions?","Mission-Focused, Climate Change, Natural Resources & Environment, Disaster Response & Recovery"
23,DOC,Department of Commerce,DOC 23,"What are the gaps in publicly available data, tools, and services that are needed for communities to develop climate and environmental assessments required for Economic Development Administration (EDA) grant applications?","Mission-Focused, PMA - Customer Experience & Service Delivery, Climate Change, Economic Development, Grant Programs & Administration, Data Related"
24,DOC,Department of Commerce,DOC 24,What are the most effective and promising approaches to partnering with businesses to identify skill gaps and train workers to fill them?,"Mission-Focused, Workforce Development & Employment"
25,DOC,Department of Commerce,DOC 25,What are the most effective approaches to increase capital availability to minority businesses?,"Mission-Focused, Equity, Economic Development"
26,DOC,Department of Commerce,DOC 26,What are the most significant barriers to providing business assistance to underserved communities and populations? How can they be removed?,"Mission-Focused, Operationally-Focused, Equity, Economic Development"
27,DOC,Department of Commerce,DOC 27,What barriers exist to collecting information from underserved communities?,"Mission-Focused, Equity, Data Related"
28,DOC,Department of Commerce,DOC 28,"What barriers exist to using climate-related data by underserved and at-risk communities and which, if addressed, would have the highest impact? What practices and techniques would effectively expand environmental and climate data equity and usability?","Mission-Focused, Equity, Climate Change, Data Related"
29,DOC,Department of Commerce,DOC 29,"What challenges hinder the availability and usability of statistical, administrative, and scientific data for evidence building? Which actions would have the highest impact in overcoming these challenges?","Operationally-Focused, Data Related"
30,DOC,Department of Commerce,DOC 30,What could be key sources of U.S. competitive advantage in green technologies?,"Mission-Focused, Climate Change, Economic Development, Natural Resources & Environment"
31,DOC,Department of Commerce,DOC 31,What customer/human-centered design approaches should be used to routinely assess and improve the design and navigation of Department websites?,"Operationally-Focused, PMA - Customer Experience & Service Delivery"
32,DOC,Department of Commerce,DOC 32,What datasets are available/needed to track the impact of Department programs on historically underserved communities/populations?,"Mission-Focused, Equity, Data Related"
33,DOC,Department of Commerce,DOC 33,What DOC actions/initiatives are needed to promote long-term space safety and sustainability?,Mission-Focused
34,DOC,Department of Commerce,DOC 34,What DOC actions/initiatives would most effectively promote U.S. competitiveness in the commercial space industry?,Mission-Focused
35,DOC,Department of Commerce,DOC 35,What emerging technologies effectively enhance data sharing while preserving privacy and confidentiality?,"Mission-Focused, Operationally-Focused, Data Related, Cybersecurity"
